source_type_tl,canonical_slug,count
paragliding/패러글라이딩,paragliding,17
zipline/짚라인,zipline,14
kart/카트체험,kart,12
atv/ATV체험,atv,11
shooting/실탄사격,shooting,9
bungee/번지점프,bungee,8
jetboat/제트보트,jetboat,8
luge/루지,luge,7
horse/승마체험,animal-riding,6
cave/동굴탐험,cave-explore,6
aircraft/경비행기,light-aircraft,5
monorail/모노레일,monorail,5
balloon/열기구,balloon,4
speedboat/제트스키,jetboat,4
skybike/하늘자전거,skybike,3
skywalk/스카이워크,skywalk,3
zipline/짚와이어,zipline,3
speedboat/스피드보트,jetboat,3
swing/빅스윙,big-swing,3
whitewaterKayak/급류 카약,whitewater-kayak,3
coaster/알파인코스터,alpine-coaster,2
slide/슬라이드,slide,2
mtbDownhill/MTB 다운힐,mtb-downhill,2
highRopes/하이로프,high-ropes,2
seawalk/씨워킹,seawalk,1
amphibious/수륙양용차,amphibious,1
netadv/네트어드벤처,high-ropes,1
hangglider/행글라이더,hang-glider,1
coaster/마운틴코스터,alpine-coaster,1
bungee/슬링샷,bungee,1
zipline/짚트랙,zipline,1
skybike/스카이바이크,skybike,1
netadv/어드벤처,high-ropes,1
shooting/레이저서바이벌,survival-game,1
kart/고카트,kart,1
swing/공중그네,big-swing,1
kart/자기부상카트,kart,1
skywalk/하늘전망대,skywalk,1
skywalk/엣지워크,skywalk,1
speedboat/페달보트,jetboat,1
kart/서킷카트,kart,1
kart/서킷사파리,kart,1
kart/서킷택시,kart,1
sky/실내스카이다이빙,indoor-skydiving,1
atv/SUV오프로드,suv-offroad,1
atv/오프로드,offroad,1
rockClimbing/자연 암벽등반,rock-climbing,1
survivalGame/서바이벌 게임,survival-game,1
